Rk,Player,AV,Sk,Def%,PD,Season,Age,Team,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,STSnp,ST %,Pos
87,C.J. Mosley,15,0.5,84.5,5,2018,26,BAL,15,15,0.5,70,35,105,6,2,1,0,0,5,0,0,875,0,0,LILB
88,Josh Norman,15,0,96.5,18,2015,28,CAR,16,16,0,48,8,56,3,0,4,110,2,18,0,0,1062,81,17,RCB
89,Zach Orr,15,0,91.8,5,2016,24,BAL,15,15,0,92,41,133,6,1,3,23,0,5,0,0,961,168,36.4,RILB
90,Micah Parsons,15,14,80.7,2,2023,24,DAL,17,17,14,36,28,64,18,33,0,0,0,2,0,0,864,1,0.2,LB
91,Patrick Peterson,15,0,94.6,8,2015,25,ARI,16,16,0,35,0,35,1,0,2,41,0,8,0,0,989,173,37.3,LCB
92,Patrick Queen,15,3.5,96.9,6,2023,24,BAL,17,17,3.5,84,49,133,9,6,1,21,0,6,0,0,1121,3,0.6,LB
93,Jalen Ramsey,15,0,95.9,17,2017,23,JAX,16,16,0,52,11,63,2,0,4,34,0,17,0,0,993,50,10.3,LCB
94,Jalen Ramsey,15,0,93.1,9,2020,26,LAR,15,15,0,36,8,44,2,1,1,2,0,9,0,0,953,9,2.1,RCB
95,Haason Reddick,15,16,73.9,3,2022,28,PHI,17,17,16,35,14,49,11,26,0,0,0,3,0,0,817,7,1.5,LLB
96,Darrelle Revis,15,0,92.9,14,2014,29,NWE,16,16,0,41,6,47,2,0,2,0,0,14,0,0,1013,12,2.6,LCB
97,Richard Sherman,15,0,98.1,14,2015,27,SEA,16,16,0,33,17,50,1,0,2,30,0,14,0,0,977,106,23.8,LCB
98,Aqib Talib,15,0,75.9,12,2016,30,DEN,13,13,0,32,11,43,1,1,3,86,1,12,0,0,871,48,10.2,LCB
99,T.J. Watt,15,22.5,65,7,2021,27,PIT,15,15,22.5,48,16,64,21,39,0,0,0,7,0,0,758,32,6.5,LOLB
100,Antoine Winfield Jr.,15,6,97.7,12,2023,25,TAM,17,17,6,76,46,122,6,8,3,28,0,12,0,0,1100,0,0,S
101,Jamal Adams,14,6.5,86.9,7,2019,24,NYJ,14,14,6.5,61,14,75,10,13,1,61,1,7,0,0,961,40,9,SS
102,Budda Baker,14,2,90.6,6,2020,24,ARI,15,15,2,90,28,118,7,3,2,90,0,6,0,0,1005,21,4.8,SS
103,Mark Barron,14,1,99.7,8,2016,27,LAR,16,16,1,91,27,118,7,3,2,8,0,8,0,0,1087,49,10.9,LLB
104,NaVorro Bowman,14,2.5,96.5,2,2015,27,SFO,16,16,2.5,116,38,154,7,8,0,0,0,2,0,0,1098,15,3.3,LILB
105,Malcolm Butler,14,1,96.6,17,2016,26,NWE,16,16,1,48,15,63,1,1,4,28,0,17,0,0,1008,0,0,LCB
106,Kevin Byard,14,0,99.7,16,2017,24,TEN,16,16,0,62,25,87,3,3,8,130,0,16,0,0,1085,68,14.3,FS
107,De'Vondre Campbell,14,2,91.6,5,2021,28,GNB,16,16,2,102,44,146,6,6,2,15,0,5,0,0,988,8,1.8,RILB
108,Jeremy Chinn,14,1,91.3,5,2020,22,CAR,15,15,1,68,49,117,2,5,1,0,0,5,0,0,967,104,24.7,RLB
109,Jadeveon Clowney,14,6,73,2,2016,23,HOU,14,14,6,40,12,52,16,17,0,0,0,2,0,0,737,74,16.6,RDE
110,Landon Collins,14,4,99.5,13,2016,22,NYG,16,16,4,100,25,125,9,5,5,72,1,13,0,0,1105,97,21.3,SS
111,Fletcher Cox,14,5.5,58.9,2,2017,27,PHI,14,14,5.5,15,11,26,5,17,0,0,0,2,0,0,607,6,1.3,RDT
